,name,review
190,gajanand saini,bad product camera qualiti bad batteri backup lowread
191,roshan kumar yadav,niceread
192,jaheer ali,valu moneyread
193,kajal kumari,phone great qualiti also good read
194,udit sharma,good read
195,jave ali,camera good price e total worthi read
196,flipkart custom,good mobil overal goodread
197,keshav kumbhakar,nice product sad charger mobil support watt charg box charger wattsread
198,rubi khan,super must buy guy read
199,flipkart custom,nice mobil camera qualiti good great batterylif gamingread
200,flipkart custom,nice mobil fast deliveri flipkart thanksread
201,sarath manu,product specialist ok charg adaptor w detail see w read
202,flipkart custom,im bought phone gift mom im realli love valu money fast deliveri flipkart read
203,upendra belani,canera qualiti goodal thought mph batteri low batteri backup long time take chargeread
204,pankaj kumar,nice happyread
205,sk manirul manirul,nice productread
206,flipkart custom,camera qualiti good fast charg read
207,r k roushan,goread
208,flipkart custom,product good deliveri boy rude start minu deliveri boy read
209,flipkart custom,betteri good camer badread
210,flipkart custom,good phone read
211,ruvaitha begum,good condit happi realli superb quick deliveri thank flipkartread
212,sudheer kumar,good camera read
213,flipkart custom,overh problem charg problem yesterday purchas mobileread
214,shashank ganiga,fantasticread
215,sujeet kumar,bad experi flipcart weast money productread
216,sahil kushwaha,nyc phone super batteri read
217,rahul goyal,bought last month brand new phone work slow poor qualiti expect redmi though issu use note pro year still faith bought feel disappointedread
218,radh prajapat,poor camera qualiti perform slow pleas purchas phoneread
219,karthik kumar,like camera clearread
220,visag e c,buy mobil freez alotread
221,santu mandal,bad dont buy read
222,subhajit mahata,bad mobil phone pleas buy phoneread
223,dinesh matal,issu network show cell think sim issu bring product mi servic centr said board issu someth cell work right read
224,flipkart custom,audio pathet camera good mention specspleas buy productread
225,flipkart custom,bad mobileread
226,kodivindla harikrishna,bad charg full charg take hour cemar also tooo bad wast fo money buy mobileread
227,aryan rajesh rebal,worst camera worst perform wasteread
228,murali yadav,poor read
229,angshuman sarma,amaz phone rang perform smoothbut problem take much time get fulli chargedread
230,mirza ahemad beg,bestread
231,flipkart periyanayagam,nice batteri back upread
232,pramod mate,camera qualiti averagesound nice bigdeliveri fast flipkartflipkart servic good othersread
233,manish kumar,review use day face mani issu believ friend review real start lag day app close automat enter although enter app permiss touch stop work press home button abl return start menu use phone realli know time fault seller side compani side experi use phone realli terribleread
234,somesh mishra,averageread
235,priya biswa nayak,third class camera experi good dont buy though regular samsung user display camera qualiti bad read
236,babu perum,front camera goodread
237,azad alam sheikh,mobil heavi weight read
238,anurag chaudhari,charg slow rear camera almost mp read
239,niranjan kumar,great phone everyth fine go read
240,ajeet joriya,nice productread
241,tamanna shaikh,good phone bhut ach camer batteri day thank flipkart read
242,veeranna gajjalammagari,utterli disappoint write review day use point note purchasebatteri thought batteri good mention k mah perform poor take nearli hr charg fulli may take hr charg mobil decomposit stage perform atleast perform best contain snapdragon processor could camera rear camera upto mark front camera need use thin read
243,rajat ghosh,redmi phone goodread
244,mohd adeeb,problem charg charg slow batteri problem read
245,kartikeya ojha,camera qualiti poor automat restart frequent read
246,deepak sharma,camra qualiti poor wast money pleas buy one phone read
247,maheswaran kumaresan,nice read
248,shiva,batteri charg slow recent stuck automat emi number dose match exchang read
249,akshay kumar,disappoint worst mobil ever seenworst camera poor pictur qualityveri slow charg mah batteri last even hrsdon buyread
250,vivek singh naruka,processor speed upto mark even open call log slow take upto second open read
251,ramesh tammana,fingerprint sensor workingread
252,flipkart custom,batteri backup work properli batteri charg slow processread
253,flipkart custom,high cost perform lowread
254,roushni rasool,camera qualiti good disappoint read
255,gaurav dhagesh,want good camera buy one go option camera qualiti poor phone k phone buyread
256,flipkart custom,camera bit laggi time secur patch updat devic got mani annoy bug suggest buy motorola thisread
257,rahul raut,redmi cheat us charg time much bad experi charg time buyread
258,saye akhter,redmi activ better bacaus back camera mp mp charg time long mobil heat problem charg return polici read
259,jack leach,goodread
260,priyanshu kumar,nice smartphon student onlin class batteri backup best display also coolread
261,mitul soni,goodread
262,jibachh purvey,phone good read
263,souvik dhar,niceread
264,brijesh maurya,worst camera ever seen even nokia vga camera better devic w charg support box w charger display mark devic call suggest buy devic realm good option read
265,sanjay kumar,charg verri slowli camra qualiti power back cover screen gardread
266,kunal koshia,buy product camera qualiti poorread
267,sudama sharma,good fetaur mobil love mi phone chief good featur read
268,daulat bodalkar,interest mobileread
269,muzammil ahm,avoid phone u valu softwar intern storag avail first boot around gb less almost gb taken firmwar bloatwar buy u valu perform fast storag batteri display averag read
270,brajesh kumar,superbread
271,ranik biswa,redmi goodit camera bestread
272,k verma,good phone k cheap qualiti smooth bad perform bad camera less sensor mani bug tire singl day buy mani better option avail purchas read
273,ajay babbar,good charger slowread
274,biswajit da,goodread
275,jobin mathew,satisfi want normal use phone doubt got im buy di big million day afford priceread
276,flipkart custom,good phone niceread
277,flipkart custom,bad productread
278,amit singh,total averag phone price awesomeread
279,hasanur mallick,mobil charg problem also hang charg plug also plug next minread
280,krishna rathor,intern memori use preinsttal app updat android read
281,asit ghosh,phone averag best praiseread
282,mohammad irfan,best qualiti phoneread
283,gowrish k,niceread
284,flipkart custom,good product rear camera badread
285,meena patel,price good batteri good camera perform normal use also mi pro compar mi batter camera result thanxx flipcart given day speed deliveri phone ordar read
286,flipkart custom,good deviceread
287,sibaprasad rana,goodread
288,makwana gautambhai,batteri work long timenot fast chargingfast batterycamera result poorread
289,flipkart custom,day sinc bought phone phone hang muchread
290,aravind dabhi,mobil okread
291,muthu krishnan,worth money camera qualiti super batteri backup goodread
292,sahin alam mondal,nice read
293,bhavna mishra,everyth good accord price except camera qualiti camera qualiti extrem low accord high qualiti detail mention especi phone peopl selfi lover front camera extrem bad otherwis display perform batteri good read
294,flipkart custom,nice qualityread
295,flipkart custom,buy worst camera qualiti per specificationsread
296,jitendra batt,good workread
297,ashutosh rana,serious hate product take hour get full charg pleas dont buyread
298,tapan da,bad qualiti charger issueread
299,masihur rahman,perform averag read
300,kuldeep sharma,camera qualiti poor recommend purchas mobil camera poorread
301,pasupati da,first flipkart redmi dont recogn product go replac phone flipkart go happen camera west mp name shake mp samsung perform averag read
302,manju kench,month purchas becom slow hangingread
303,moham mohsin,batteri issuread
304,saba sultana,satisfiedread
305,jitend dahiya,xiomi redmi best price sell mobil phoneread
306,rahul pathak,good batteri nice mobileread
307,rahul raghav,price ok phoneread
308,flipkart custom,good phone watch movi video social mediaread
309,vallepu sivaprasanna kumar custom,mobil goodread
310,abhi roy,nice productread
311,naveen kumar,good mobileread
312,pradeep santa,excellentread
313,nidheesh kumar,product awesom pack featur read
314,karthi keyan,sound qualiti bad look good batteri goodread
315,samit ghosal,batteri slow charg hour full chargingread
316,karthikeyan,awesom mobileread
317,bishwajit sarkar,realli nice phoneread
318,flipkart custom,niceread
319,dinesh tholiya,nice mobileread
320,,time resmi disappoint resmi note much better read
321,shilpa na,good rangeread
322,flipkart custom,ok ok price rang read
323,leo georg,k realli worth read
324,r k yadav,nice read
325,flipkart custom,use week get hang camera qualiti poorno return polici u keep replac cancel charg slow buy mobil mean loos money never buy itread
326,rishu ji sri sinha,awesom camera averag also charg time hour fast charger bad everyth ok thak flipkart read
327,jitendra chaudhari,best smartphon k read
328,thanveer,gudread
329,vinay sharma,awesomeread
330,ram aashish pandey,v good mobileread
331,vikram singh gaur,price wej fantast mobileread
332,rahul behera,niceread
333,mohit sharma,lot bloatwar camera less averag batteri backup extrem good read
334,shiva kumar,excel mobil everybodi know redmi excel mobil india largest sell phone read
335,miraj ali siraj,niceread
336,sandip rajput,mobil good perform wise camera qualiti sound qualiti featur work smoothli itread
337,swadheen singh,good producti bought mother love everyth good special batteri perform good read
338,flipkart custom,phone camera betterread
339,prathewraj p,goodread
340,flipkart custom,good product read
341,naveen pandu,valu money best budget mobil gift parent read
342,sanjay yadav,nice product qualityread
343,flipkart custom,good phone price rang batteri backup good camera ok ok perform good fast deliveri flipkart thanksread
344,pankaj kumar verma,good phone batteri backup day normal use nice phone good perform pankaj kumar verma new delhi india read
345,flipkart custom,charg slowread
346,flipkart custom,nice item fulli satisfactionread
347,abhijit sahu,good qualityread
348,flipkart custom,nicefast mobileread
349,shaket swain,back camera qualiti bad unsatisfi buy phone read
350,flipkart custom,good mobileread
351,surjeet singh,nice redmi batteri backup good big display phone thank read
352,joy mondal,good phone read
353,flipkart custom,overal phone accord cost good canera good rest ut complet fine saound wualiti build look perform greatread
354,yuvraj patel,good productread
355,sankr malik,good okread
356,flipkart custom,valuablebad batteri performanceread
357,n narayanan,barcod scan difficult due poor screen captur screen orient rotat horribl frozen often camera number mp mp realiti use worst hang often even format multipl time short lost interest mi model recommend model anyon read
358,debasish howladar,best mobil camera qualiti goodread
359,chetan baratakk,sometim mobil lagread
360,flipkart custom,hang problem ram slowread
361,saddam nabi shaikh,best smartphon best performanceread
362,abhinav gupta,good batteri backup high speedread
363,harjind singh gill,nice phone priceread
364,flipkart custom,camera mp work mp display bad batteri charg minimum hour bad phoneread
365,raj rajput,good perform good mobil price rang read
366,musthafa safvan,pro consded sd card slot averag cameraspow processor w adaptor boxlong last batteri life hd display w charg support decent speakersno gyroscop sensorno compass sensorno secondari nois cancel micread
367,hale santhosh,nic goodread
368,abhishek baghel,good product read
369,flipkart custom,badread
370,anurag singh,relli good read
371,raju chakraborti,good read
372,seema,batteri backup pathet need charg hour charg poor batteri perform read
373,anil yadav,product bad mobil hangread
374,princ kumar,review month usag start hang month use bad slow perform hang everi read
375,jatin arya,product good recommend buy month function good screen becom white insid guy sell worst rd class product read
376,gumana ram,aspectedread
377,ansh tiwari,worst mobileread
378,flipkart custom,badread
379,yuvraj singh,connect wireless work properli execut misbehav call declin conversationread
380,flipkart custom,happi mobil redmi betteri problem clear issueread
381,flipkart custom,bad product receivedread
382,flipkart custom,camera qualiti goodread
383,sajid ashraf,patheticread
384,govind prasad,charg vari slow approx hour full chargread
385,atma maravi,bad camera qualityread
386,vishal kale,camera qualiti poorread
387,sheikh atiq,receiv mobil mobil box damag box uppar side black fungu appear due mobil charger wet work properli total disagre approach read
388,sonam shukla,nice color camera goodread
389,soyab mondal,action mobil niceread
